label                    , accuracy          , precision         , recall            , f1                , mcc                , mae               , exact_rate        , specificity       , balanced_accuracy , species
v2                       , 0.5183714001986097, 0.006198347107438 , 0.4285714285714285, 0.0122199592668024, -0.0087185350733039, 19.0              , 0.1428571428571428, 0.519             , 0.4737857142857142, Mouse (Mammal - Held-out Region)
v2                       , 0.6770304568527918, 0.5348595213319459, 0.8923611111111112, 0.6688353936239427, 0.439667416797613  ,  6.963035019455253, 0.7274305555555556, 0.553             , 0.7226805555555555, Arabidopsis (Plant - Held-out Region)
v2                       , 0.7127468581687613, 0.6121883656509696, 0.91701244813278  , 0.7342192691029901, 0.4917284983326358 ,  7.520361990950226, 0.7842323651452282, 0.5569620253164557, 0.7369872367246179, Yeast (Fungi - Unseen Clade)
v2                       , 0.6716224951519069, 0.5204188481675392, 0.9085923217550276, 0.6617842876165113, 0.4432154703401904 ,  6.663983903420523, 0.7769652650822669, 0.542             , 0.7252961608775137, Worm (Nematode - Unseen Clade)
v2                       , 0.7011779293242405, 0.5673175745118191, 0.9004893964110929, 0.6960907944514502, 0.4757325175775197 ,  6.228260869565218, 0.7944535073409462, 0.579             , 0.7397446982055464, GUE C. elegans Histone (Nematode)
v3                       , 0.5896946564885496, 0.0918803418803418, 0.8958333333333334, 0.1666666666666666, 0.1979934837042639 ,  2.372093023255814, 0.8333333333333334, 0.575             , 0.7354166666666666, Human (Mammal - Held-out Region)
v3                       , 0.4001986097318769, 0.0066115702479338, 0.5714285714285714, 0.0130718954248366, -0.0050168441713985, 14.25             , 0.2857142857142857, 0.399             , 0.4852142857142857, Mouse (Mammal - Held-out Region)
v3                       , 0.6243654822335025, 0.4931389365351629, 0.9982638888888888, 0.6601607347876005, 0.4470395446686745 ,  6.657391304347826, 0.8263888888888888, 0.409             , 0.7036319444444444, Arabidopsis (Plant - Held-out Region)
v3                       , 0.6714542190305206, 0.5683962264150944, 1.0               , 0.724812030075188 , 0.4891114978410107 ,  6.970954356846473, 0.8630705394190872, 0.4208860759493671, 0.7104430379746836, Yeast (Fungi - Unseen Clade)
v3                       , 0.6477052359405301, 0.5009225092250923, 0.9926873857404022, 0.6658491722869405, 0.4715486314463799 ,  5.983425414364641, 0.8537477148080439, 0.459             , 0.7258436928702011, Worm (Nematode - Unseen Clade)
v3                       , 0.6887786732796032, 0.5497757847533632, 1.0               , 0.7094907407407407, 0.5232478770211828 ,  5.412724306688418, 0.8874388254486134, 0.498             , 0.749             , GUE C. elegans Histone (Nematode)
